bigram,n,word1,word2,why,notes
nest_polymeras,1,nest,polymeras,ignore,pathogen
nest_revers,1,nest,revers,ignore,
neuraminidas_gene,1,neuraminidas,gene,ignore,
neuraminidas_inhibitor,1,neuraminidas,inhibitor,ignore,
neurolog_diseas,1,neurolog,diseas,ignore,pig chromosome?
neutral_antibodi,1,neutral,antibodi,ignore,
newli_diagnos,1,newli,diagnos,ignore,too braod
newli_emerg,3,newli,emerg,ignore,
nile_viru,1,nile,viru,ignore,
nonstructur_protein,3,nonstructur,protein,ignore,disease
nontyphoid_salmonella,2,nontyphoid,salmonella,ignore,
north_america,3,north,america,ignore,
north_american,2,north,american,ignore,
northern_itali,1,northern,itali,ignore,
nosocomi_infect,6,nosocomi,infect,ignore,phrasing
nosocomi_outbreak,3,nosocomi,outbreak,outbreak,usually related to transmission
nosocomi_pathogen,3,nosocomi,pathogen,ignore,
nucleic_acid,3,nucleic,acid,ignore,
nucleocapsid_protein,1,nucleocapsid,protein,ignore,disease
nucleosid_revers,1,nucleosid,revers,ignore,
nucleotid_ident,2,nucleotid,ident,ignore,
nucleotid_polymorph,14,nucleotid,polymorph,genome,SNPs
nucleotid_sequenc,16,nucleotid,sequenc,ignore,too broad
nucleotid_substitut,1,nucleotid,substitut,ignore,too broad
obes_epidem,1,obes,epidem,ignore,phrasing
oblig_intracellular,1,oblig,intracellular,ignore,
occasion_pandem,1,occasion,pandem,outbreak,phrasing
occult_hbv,2,occult,hbv,ignore,
occult_hepat,3,occult,hepat,ignore,
odd_ratio,7,odd,ratio,ignore,disease
oncogen_hpv,1,oncogen,hpv,cancer,too broad
ongo_transmiss,1,ongo,transmiss,transmission,
opportunist_pathogen,1,opportunist,pathogen,ignore,phrasing
origin_influenza,1,origin,influenza,ignore,
oseltamivir_resist,1,oseltamivir,resist,drug resistance,
outbreak_caus,1,outbreak,caus,outbreak,
outbreak_detect,1,outbreak,detect,outbreak,
outbreak_investig,8,outbreak,investig,outbreak,
outbreak_isol,5,outbreak,isol,outbreak,
outbreak_occur,1,outbreak,occur,outbreak,
outbreak_relat,1,outbreak,relat,outbreak,
outbreak_strain,9,outbreak,strain,outbreak,
outer_membran,6,outer,membran,ignore,disease
palindrom_repeat,1,palindrom,repeat,ignore,
pan_genom,2,pan,genom,genome,
pandem_caus,1,pandem,caus,outbreak,
pandem_clone,1,pandem,clone,outbreak,
pandem_influenza,1,pandem,influenza,outbreak,
pandem_island,1,pandem,island,ignore,
pandem_outbreak,1,pandem,outbreak,outbreak,
pandem_potenti,1,pandem,potenti,outbreak,too broad
pandem_prepared,1,pandem,prepared,outbreak,
pandem_strain,3,pandem,strain,outbreak;characterization,
pandem_threat,1,pandem,threat,outbreak,have more specific terms for strain
pandem_vibrio,1,pandem,vibrio,outbreak,
pandem_viru,1,pandem,viru,ignore,
pandem_virus,1,pandem,virus,ignore,
panton_valentin,1,panton,valentin,outbreak,
papilloma_viru,1,papilloma,viru,ignore,
papillomaviru_dna,1,papillomaviru,dna,ignore,
papillomaviru_hpv,1,papillomaviru,hpv,ignore,
papillomaviru_infect,1,papillomaviru,infect,ignore,
papillomaviru_type,1,papillomaviru,type,ignore,
papillomavirus_hpv,1,papillomavirus,hpv,ignore,
paraffin_embed,1,paraffin,embed,ignore,"pathogen, not useful"
parahaemolyticu_isol,1,parahaemolyticu,isol,ignore,potentially too general
parahaemolyticu_strain,1,parahaemolyticu,strain,ignore,
partial_genom,1,partial,genom,genome,
partial_pol,1,partial,pol,ignore,pathogen
partial_sequenc,1,partial,sequenc,ignore,
past_decad,1,past,decad,ignore,
pathogen_avian,1,pathogen,avian,vector,
pathogen_escherichia,1,pathogen,escherichia,ignore,
pathogen_index,1,pathogen,index,ignore,
pathogen_influenza,1,pathogen,influenza,ignore,
pathogen_island,5,pathogen,island,drug resistance;genome,
pathogen_potenti,2,pathogen,potenti,ignore,too broad
pathogen_salmonella,1,pathogen,salmonella,ignore,
pathogen_strain,1,pathogen,strain,ignore,
pathogen_vibrio,1,pathogen,vibrio,ignore,
patient_infect,4,patient,infect,ignore,
patient_isol,3,patient,isol,ignore,
pcr_amplif,3,pcr,amplif,ignore,
pcr_amplifi,1,pcr,amplifi,ignore,
pcr_assai,7,pcr,assai,ignore,"method, don't care to much"
pcr_base,4,pcr,base,ignore,
pcr_method,1,pcr,method,ignore,
pcr_product,4,pcr,product,ignore,
pcr_rflp,1,pcr,rflp,genotype,
pcr_ribotyp,1,pcr,ribotyp,ignore,
pegyl_interferon,1,pegyl,interferon,ignore,
peripher_blood,1,peripher,blood,ignore,
pesti_isol,1,pesti,isol,ignore,
pesti_strain,1,pesti,strain,ignore,
pfge_pattern,6,pfge,pattern,genotype,
pfge_type,3,pfge,type,characterization;genotype,
phage_genom,2,phage,genom,genome,
phage_type,4,phage,type,ignore,phrasing
phylogenet_analys,10,phylogenet,analys,phylogeny,
phylogenet_analysi,27,phylogenet,analysi,phylogeny,
phylogenet_cluster,1,phylogenet,cluster,outbreak;cluster,phrasing
phylogenet_relationship,2,phylogenet,relationship,phylogeny,
phylogenet_tree,9,phylogenet,tree,phylogeny,
plasma_hiv,1,plasma,hiv,mBio,too broad
plasma_sampl,1,plasma,sampl,mBio,
plasma_viral,1,plasma,viral,mBio,
plasmid_analysi,2,plasmid,analysi,drug resistance;mBio,
plasmid_carri,3,plasmid,carri,mBio,
plasmid_encod,2,plasmid,encod,mBio,
plasmid_mediat,2,plasmid,mediat,drug resistance;mBio,too broad
plasmid_profil,1,plasmid,profil,mBio,
pneumonia_carbapenemas,1,pneumonia,carbapenemas,drug resistance;mBio,
pneumonia_clinic,2,pneumonia,clinic,outbreak;hospital,too specific demograhic
pneumonia_clone,2,pneumonia,clone,ignore,too broad
pneumonia_infect,1,pneumonia,infect,ignore,
pneumonia_isol,2,pneumonia,isol,ignore,
pneumonia_strain,2,pneumonia,strain,ignore,
pneumophila_serogroup,1,pneumophila,serogroup,ignore,
pol_gene,1,pol,gene,ignore,
pol_region,1,pol,region,ignore,
pol_sequenc,1,pol,sequenc,ignore,
polyacrylamid_gel,1,polyacrylamid,gel,ignore,phrasing
polymeras_activ,1,polymeras,activ,ignore,
polymeras_chain,25,polymeras,chain,ignore,method
polymeras_complex,1,polymeras,complex,ignore,
polymeras_gene,1,polymeras,gene,ignore,
polymorph_analysi,3,polymorph,analysi,ignore,
polymorph_dna,1,polymorph,dna,ignore,just TB
polymorph_rflp,2,polymorph,rflp,genotype,
polymorph_snp,12,polymorph,snp,genome,SNP often used
poorli_understood,1,poorli,understood,ignore,
popul_base,2,popul,base,ignore,
popul_genet,4,popul,genet,ignore,
popul_structur,12,popul,structur,ignore,"too broad, phrasing"
posit_individu,1,posit,individu,ignore,
posit_isol,4,posit,isol,ignore,
posit_mrsa,1,posit,mrsa,drug resistance,
posit_patient,3,posit,patient,ignore,
posit_pcr,1,posit,pcr,ignore,
posit_sampl,6,posit,sampl,clinical;diagnosis,
posit_select,2,posit,select,ignore,
posit_sens,1,posit,sens,ignore,
posit_strain,6,posit,strain,clinical;diagnosis,
posit_tumor,1,posit,tumor,ignore,
potenti_pathogen,1,potenti,pathogen,ignore,phrasing
poultri_industri,1,poultri,industri,ignore,
poultri_market,1,poultri,market,ignore,vaccine?
power_tool,1,power,tool,ignore,have more specific terms for strain
pre_core,1,pre,core,ignore,"cancer, too specific"
precor_core,1,precor,core,ignore,
precor_mutant,1,precor,mutant,ignore,
precor_mutat,1,precor,mutat,ignore,
precor_region,1,precor,region,ignore,
precor_stop,1,precor,stop,ignore,
predomin_clone,1,predomin,clone,ignore,"method, too braod"
predomin_spoligotyp,1,predomin,spoligotyp,genotype,
predomin_subtyp,1,predomin,subtyp,ignore,
pregnant_women,1,pregnant,women,ignore,
preval_genotyp,1,preval,genotyp,genotype,"pathogen, not useful"
preval_hiv,1,preval,hiv,ignore,too broad
previou_studi,7,previou,studi,ignore,
previous_report,7,previous,report,ignore,pathogen
primari_hiv,1,primari,hiv,ignore,
primari_isol,1,primari,isol,ignore,
princip_find,2,princip,find,ignore,
princip_genet,1,princip,genet,ignore,
probe_assai,1,probe,assai,ignore,
produc_acinetobact,1,produc,acinetobact,ignore,
produc_ctx,2,produc,ctx,ignore,bla association better and stronger
produc_enterobacteriacea,2,produc,enterobacteriacea,ignore,
produc_escherichia,2,produc,escherichia,ignore,
produc_isol,3,produc,isol,ignore,
produc_klebsiella,2,produc,klebsiella,ignore,too broad
produc_strain,3,produc,strain,ignore,
promot_bcp,1,promot,bcp,ignore,
promot_mutat,1,promot,mutat,ignore,
promot_precor,1,promot,precor,ignore,"too broad, phrasing"
promot_region,3,promot,region,ignore,
proport_method,1,proport,method,ignore,
proteas_gene,1,proteas,gene,ignore,
proteas_inhibitor,1,proteas,inhibitor,ignore,
proteas_revers,1,proteas,revers,ignore,
protect_immun,1,protect,immun,ignore,
protect_vaccin,1,protect,vaccin,ignore,
protein_code,1,protein,code,ignore,"not sure, rethink"
protein_gene,1,protein,gene,ignore,
protein_kinas,1,protein,kinas,ignore,not sure
protein_sequenc,1,protein,sequenc,ignore,method
proteu_mirabili,2,proteu,mirabili,ignore,"possibly reservoir, but not sure"
provid_insight,2,provid,insight,ignore,
provinc_china,1,provinc,china,ignore,
provir_dna,1,provir,dna,ignore,
pseudomona_aeruginosa,3,pseudomona,aeruginosa,ignore,pathogen
public_health,28,public,health,ignore,too broad
pulmonari_tuberculosi,2,pulmonari,tuberculosi,ignore,
puls_field,14,puls,field,ignore,"method, donÍt care"
pure_subtyp,1,pure,subtyp,ignore,
purifi_select,1,purifi,select,ignore,
put_virul,1,put,virul,ignore,
pvl_gene,1,pvl,gene,drug resistance;mBio,
pvl_neg,1,pvl,neg,ignore,
pvl_posit,1,pvl,posit,ignore,"ingluenza, mBio maybe?"
pylori_infect,1,pylori,infect,ignore,
pylori_strain,1,pylori,strain,characterization,
qnr_gene,2,qnr,gene,drug resistance;mBio,
quinolon_resist,3,quinolon,resist,drug resistance,
quinupristin_dalfopristin,1,quinupristin,dalfopristin,drug resistance,
quorum_sens,1,quorum,sens,ignore,
rapid_detect,1,rapid,detect,outbreak,too broad
reaction_pcr,12,reaction,pcr,ignore,"method, don't care to much"
read_frame,13,read,frame,ignore,"molecular biology, but a little too broad"
real_time,17,real,time,outbreak,"likely, not defintive"
reassort_event,2,reassort,event,ignore,
reassort_influenza,1,reassort,influenza,ignore,
reassort_strain,1,reassort,strain,ignore,
reassort_viru,1,reassort,viru,ignore,
reassort_virus,1,reassort,virus,ignore,
recent_common,2,recent,common,ignore,"immune response, not sure how to consider this"
recent_develop,1,recent,develop,ignore,ignore region
recent_emerg,2,recent,emerg,ignore,
recent_hiv,1,recent,hiv,ignore,
recent_infect,1,recent,infect,ignore,
recent_outbreak,4,recent,outbreak,outbreak,
recent_studi,2,recent,studi,ignore,
recent_transmiss,2,recent,transmiss,transmission,
receptor_bind,3,receptor,bind,ignore,
recombin_breakpoint,1,recombin,breakpoint,ignore,
recombin_event,5,recombin,event,ignore,"maybe drug resistance, or outbreak, but there are better terms"
recombin_form,1,recombin,form,ignore,
recombin_hiv,1,recombin,hiv,ignore,
recombin_strain,1,recombin,strain,characterization,mechancism
recombin_structur,1,recombin,structur,ignore,
recombin_subtyp,1,recombin,subtyp,characterization,
recombin_virus,1,recombin,virus,ignore,
reduc_suscept,2,reduc,suscept,ignore,
refer_genom,1,refer,genom,genome,method
refer_sequenc,1,refer,sequenc,ignore,statistics!
refer_strain,6,refer,strain,ignore,
region_lcr,1,region,lcr,ignore,pathogen
regul_agr,1,regul,agr,drug resistance,
regularli_interspac,1,regularli,interspac,ignore,
rel_abund,1,rel,abund,ignore,
relat_isol,4,relat,isol,ignore,
relat_strain,4,relat,strain,ignore,
rep_pcr,2,rep,pcr,ignore,
repeat_analysi,8,repeat,analysi,ignore,
repeat_loci,1,repeat,loci,ignore,too broad
repeat_ltr,1,repeat,ltr,ignore,"not sure, mBio"
repeat_miru,1,repeat,miru,genotype,
repeat_type,1,repeat,type,ignore,
repeat_vntr,6,repeat,vntr,genotype,
repetit_intergen,1,repetit,intergen,ignore,
repetit_unit,2,repetit,unit,ignore,
replic_effici,1,replic,effici,ignore,
replicon_type,2,replicon,type,characterization,
report_gene,1,report,gene,ignore,
resist_acinetobact,1,resist,acinetobact,drug resistance,
resist_determin,7,resist,determin,drug resistance,ignore immunity
resist_enterobacteriacea,2,resist,enterobacteriacea,drug resistance,
resist_enterococci,1,resist,enterococci,drug resistance,
resist_enterococcu,1,resist,enterococcu,drug resistance,
resist_escherichia,1,resist,escherichia,drug resistance,
resist_gene,10,resist,gene,drug resistance,
resist_hiv,1,resist,hiv,drug resistance,
resist_island,1,resist,island,drug resistance;genome,
resist_isol,9,resist,isol,drug resistance,
resist_klebsiella,2,resist,klebsiella,drug resistance,phrasing
resist_mdr,8,resist,mdr,drug resistance,
resist_mechan,4,resist,mechan,drug resistance;mBio,
resist_mrsa,1,resist,mrsa,drug resistance,
resist_mutat,3,resist,mutat,drug resistance;mBio;genome,
resist_mycobacterium,1,resist,mycobacterium,drug resistance,
resist_pattern,4,resist,pattern,genotype;drug resistance,
resist_phenotyp,4,resist,phenotyp,drug resistance,
resist_plasmid,2,resist,plasmid,drug resistance,could be interesting for tranmission
resist_profil,8,resist,profil,drug resistance,
resist_pseudomona,1,resist,pseudomona,drug resistance,
resist_rate,2,resist,rate,drug resistance,
resist_salmonella,2,resist,salmonella,drug resistance,
resist_staphylococcu,1,resist,staphylococcu,drug resistance,
resist_strain,10,resist,strain,drug resistance;characterization,
resist_tuberculosi,2,resist,tuberculosi,ignore,
resist_xdr,1,resist,xdr,drug resistance,pathogen
respiratori_diseas,3,respiratori,diseas,ignore,
respiratori_ill,1,respiratori,ill,ignore,
respiratori_infect,2,respiratori,infect,ignore,
respiratori_syndrom,2,respiratori,syndrom,ignore,
respiratori_tract,4,respiratori,tract,ignore,
respons_rate,1,respons,rate,ignore,disease
respons_svr,1,respons,svr,ignore,
restrict_enzym,1,restrict,enzym,ignore,
restrict_fragment,7,restrict,fragment,ignore,"pathogen, not useful"
result_demonstr,1,result,demonstr,ignore,"pathogen, not useful"
result_hbv,1,result,hbv,ignore,
result_obtain,1,result,obtain,ignore,
result_reveal,1,result,reveal,ignore,
result_suggest,19,result,suggest,ignore,phrasing
revers_genet,2,revers,genet,ignore,
revers_transcript,11,revers,transcript,mBio,
revers_transcriptas,4,revers,transcriptas,ignore,
rflp_analysi,1,rflp,analysi,genotype,
rflp_pattern,1,rflp,pattern,genotype,
rflp_type,1,rflp,type,characterization,very likely mechanism
ribosom_rna,1,ribosom,rna,ignore,
rifampicin_resist,1,rifampicin,resist,drug resistance,
risk_factor,11,risk,factor,ignore,
risk_hpv,1,risk,hpv,ignore,
risk_human,1,risk,human,ignore,
risk_popul,1,risk,popul,ignore,pathogen
risk_type,1,risk,type,ignore,
rna_depend,1,rna,depend,ignore,ambiguous
rna_genom,5,rna,genom,genome,phraising
rna_hybrid,1,rna,hybrid,ignore,too broad
rna_level,2,rna,level,ignore,too broad
rna_polymeras,2,rna,polymeras,ignore,pathogen
rna_posit,2,rna,posit,ignore,"ingluenza, mBio maybe?"
rna_replic,1,rna,replic,ignore,
rna_rna,1,rna,rna,ignore,
rna_segment,1,rna,segment,ignore,phrasing
rna_synthesi,1,rna,synthesi,ignore,
rna_viru,2,rna,viru,ignore,
rna_virus,4,rna,virus,ignore,
rotaviru_gene,1,rotaviru,gene,ignore,too broad
rotaviru_genotyp,1,rotaviru,genotyp,genotype,
rotaviru_infect,1,rotaviru,infect,ignore,too broad
rotaviru_strain,1,rotaviru,strain,characterization,
rotaviru_vaccin,1,rotaviru,vaccin,vaccine,
rpob_gene,1,rpob,gene,ignore,
rrna_gene,4,rrna,gene,ignore,
rrna_methylas,2,rrna,methylas,ignore,
russian_feder,1,russian,feder,ignore,
saharan_africa,4,saharan,africa,ignore,
salmonella_enterica,3,salmonella,enterica,ignore,too general
salmonella_enteritidi,2,salmonella,enteritidi,ignore,pathogen
salmonella_genom,3,salmonella,genom,genome,
salmonella_infect,2,salmonella,infect,ignore,too broad
salmonella_isol,2,salmonella,isol,ignore,
salmonella_nt,2,salmonella,nt,ignore,
salmonella_pathogen,1,salmonella,pathogen,ignore,phrasing
salmonella_serotyp,1,salmonella,serotyp,clinical;diagnosis,
salmonella_serovar,1,salmonella,serovar,clinical;diagnosis,cancer tissue storage
salmonella_spp,1,salmonella,spp,ignore,
salmonella_strain,2,salmonella,strain,characterization,phrasing
salmonella_typhi,1,salmonella,typhi,ignore,
salmonella_typhimurium,2,salmonella,typhimurium,ignore,
sampl_collect,3,sampl,collect,ignore,
sanger_sequenc,1,sanger,sequenc,ignore,
sar_coronaviru,1,sar,coronaviru,ignore,
sar_cov,2,sar,cov,ignore,pathogen
sar_epidem,1,sar,epidem,ignore,too broad
sar_outbreak,1,sar,outbreak,outbreak,phrasing
sar_patient,1,sar,patient,ignore,
saudi_arabia,2,saudi,arabia,ignore,
scc_mec,1,scc,mec,drug resistance;mBio,
sccmec_element,1,sccmec,element,drug resistance;mBio,
sccmec_type,1,sccmec,type,mBio,
season_epidem,1,season,epidem,ignore,
season_influenza,1,season,influenza,ignore,
secret_system,6,secret,system,ignore,
segment_genom,1,segment,genom,genome,
segment_reassort,1,segment,reassort,ignore,disease
select_pressur,6,select,pressur,ignore,pathogen
sens_rna,1,sens,rna,ignore,
sensit_staphylococcu,1,sensit,staphylococcu,ignore,
sequenc_analys,1,sequenc,analys,ignore,
sequenc_analysi,24,sequenc,analysi,ignore,genome
sequenc_base,6,sequenc,base,ignore,
sequenc_cluster,1,sequenc,cluster,genome;diversity,phrasing
sequenc_data,10,sequenc,data,ignore,have other better terms
sequenc_deriv,1,sequenc,deriv,ignore,too general
sequenc_divers,1,sequenc,divers,genome;diversity,too broad
sequenc_genom,1,sequenc,genom,genome,
sequenc_ident,2,sequenc,ident,ignore,
sequenc_obtain,1,sequenc,obtain,ignore,
sequenc_phylogenet,1,sequenc,phylogenet,genome;phylogeny,phrasing
sequenc_polymorph,1,sequenc,polymorph,genome,pathogen
sequenc_reveal,4,sequenc,reveal,ignore,phrasing
sequenc_specif,1,sequenc,specif,ignore,
sequenc_technologi,1,sequenc,technologi,ignore,
sequenc_type,17,sequenc,type,ignore,phrasing
sequenc_variat,1,sequenc,variat,genome;diversity,
sequenc_wg,11,sequenc,wg,ignore,
serial_passag,1,serial,passag,ignore,
serolog_marker,2,serolog,marker,ignore,
seroposit_individu,1,seroposit,individu,ignore,
serotyp_ogawa,1,serotyp,ogawa,clinical;diagnosis,
serotyp_typhimurium,2,serotyp,typhimurium,clinical;diagnosis,
serovar_enteritidi,1,serovar,enteritidi,clinical;diagnosis,
serovar_typhi,1,serovar,typhi,clinical;diagnosis,
serovar_typhimurium,3,serovar,typhimurium,clinical;diagnosis,
serum_hbv,1,serum,hbv,ignore,
serum_sampl,8,serum,sampl,ignore,
seventh_cholera,1,seventh,cholera,ignore,too broad
seventh_pandem,1,seventh,pandem,ignore,
sever_acut,2,sever,acut,ignore,
sever_dengu,1,sever,dengu,ignore,"cancer, too specific"
sever_diarrhea,1,sever,diarrhea,ignore,"cancer, too specific"
sever_diseas,2,sever,diseas,ignore,
sever_infect,1,sever,infect,ignore,
sever_influenza,1,sever,influenza,ignore,
sex_worker,1,sex,worker,ignore,
sexual_transmiss,1,sexual,transmiss,transmission,
sexual_transmit,1,sexual,transmit,transmission,
share_type,1,share,type,ignore,
shift_assai,1,shift,assai,ignore,
shiga_toxigen,1,shiga,toxigen,mBio,have more specific terms for strain
shiga_toxin,1,shiga,toxin,mBio,
shock_syndrom,1,shock,syndrom,ignore,
short_palindrom,1,short,palindrom,ignore,method
shv_type,2,shv,type,characterization,
sí£o_paulo,1,sí£o,paulo,ignore,
sialic_acid,1,sialic,acid,ignore,
sierra_leon,1,sierra,leon,ignore,
signific_associ,3,signific,associ,ignore,
signific_differ,7,signific,differ,ignore,"cancer, too specific"
significantli_increas,2,significantli,increas,ignore,
significantli_lower,1,significantli,lower,ignore,
simian_immunodefici,1,simian,immunodefici,ignore,
simplex_viru,1,simplex,viru,ignore,
singl_genom,1,singl,genom,genome,probably sorces
singl_genotyp,1,singl,genotyp,genotype,
singl_locu,1,singl,locu,ignore,
singl_nucleotid,19,singl,nucleotid,ignore,too broad
singl_strand,5,singl,strand,ignore,
situ_hybrid,1,situ,hybrid,ignore,
skin_infect,1,skin,infect,ignore,
smear_posit,1,smear,posit,ignore,
snp_analysi,1,snp,analysi,genome;phylogeny,
soft_tissu,1,soft,tissu,ignore,have more specific terms for strain
south_africa,2,south,africa,ignore,
south_african,1,south,african,ignore,
south_america,3,south,america,ignore,
south_american,1,south,american,ignore,
south_korea,1,south,korea,ignore,too broad
southeast_asia,4,southeast,asia,ignore,
southern_blot,1,southern,blot,ignore,
southern_china,1,southern,china,ignore,
spa_type,1,spa,type,ignore,
spanish_influenza,1,spanish,influenza,ignore,
speci_barrier,1,speci,barrier,ignore,
speci_specif,2,speci,specif,ignore,
speci_transmiss,2,speci,transmiss,transmission,
specif_gene,1,specif,gene,ignore,
specif_mutat,1,specif,mutat,ignore,
specif_pathogen,1,specif,pathogen,ignore,too broad
specif_pcr,1,specif,pcr,ignore,
specif_sequenc,1,specif,sequenc,ignore,
spectrum_beta,3,spectrum,beta,drug resistance,
spectrum_cephalosporin,2,spectrum,cephalosporin,drug resistance,
spike_protein,2,spike,protein,ignore,disease
spoligotyp_base,1,spoligotyp,base,ignore,
spoligotyp_databas,1,spoligotyp,databas,ignore,
spoligotyp_pattern,1,spoligotyp,pattern,genotype,
spoligotyp_result,1,spoligotyp,result,ignore,
spontan_clearanc,1,spontan,clearanc,ignore,"disease, too broad"
sputum_sampl,1,sputum,sampl,ignore,
squamou_cell,1,squamou,cell,ignore,
squamou_intraepitheli,1,squamou,intraepitheli,ignore,
staphylococc_cassett,1,staphylococc,cassett,ignore,
staphylococc_chromosom,1,staphylococc,chromosom,ignore,"pathogen, not useful"
staphylococc_enterotoxin,1,staphylococc,enterotoxin,ignore,
staphylococc_protein,1,staphylococc,protein,ignore,disease
staphylococcu_aureu,2,staphylococcu,aureu,ignore,
staphylococcu_epidermidi,1,staphylococcu,epidermidi,ignore,
staphylococcu_staphylococcu,1,staphylococcu,staphylococcu,ignore,
start_site,1,start,site,ignore,
statist_signific,6,statist,signific,ignore,method
stec_infect,1,stec,infect,ignore,
stec_isol,1,stec,isol,ignore,
stec_serotyp,1,stec,serotyp,ignore,pathogen
stec_strain,1,stec,strain,ignore,
stool_sampl,2,stool,sampl,ignore,
stool_specimen,1,stool,specimen,ignore,
stop_codon,1,stop,codon,ignore,"not sure, rethink"
strain_belong,9,strain,belong,ignore,phrasing
strain_carri,7,strain,carri,ignore,
strain_caus,1,strain,caus,ignore,
strain_circul,5,strain,circul,surveillance,"pathogen, not useful"
strain_cluster,2,strain,cluster,cluster;characterization,"not sure, rethink"
strain_collect,2,strain,collect,ignore,"immune response, not sure how to consider this"
strain_detect,1,strain,detect,outbreak;characterization,"too broad, phrasing"
strain_divers,1,strain,divers,ignore,too broad
strain_famili,1,strain,famili,ignore,
strain_harbor,1,strain,harbor,ignore,
strain_includ,2,strain,includ,ignore,
strain_isol,22,strain,isol,ignore,too broad
strain_lineag,1,strain,lineag,characterization,
strain_possess,1,strain,possess,ignore,
strain_specif,3,strain,specif,ignore,
strain_test,1,strain,test,ignore,
strain_type,3,strain,type,characterization,
strand_rna,3,strand,rna,ignore,
streptococcu_pyogen,1,streptococcu,pyogen,ignore,immunity
strong_associ,1,strong,associ,ignore,
structur_protein,3,structur,protein,ignore,disease
studi_aim,3,studi,aim,ignore,
studi_demonstr,3,studi,demonstr,ignore,
studi_design,3,studi,design,ignore,
studi_gwa,1,studi,gwa,ignore,
studi_hiv,1,studi,hiv,ignore,
studi_period,1,studi,period,ignore,
studi_reveal,2,studi,reveal,ignore,
studi_suggest,2,studi,suggest,ignore,
stx_gene,1,stx,gene,ignore,
stx_produc,1,stx,produc,ignore,
subsp_enterica,3,subsp,enterica,ignore,
subspeci_enterica,1,subspeci,enterica,ignore,
subtyp_avian,1,subtyp,avian,vector,
subtyp_circul,1,subtyp,circul,surveillance,"pathogen, not useful"
subtyp_distribut,1,subtyp,distribut,ignore,too broad
subtyp_influenza,1,subtyp,influenza,ignore,
subtyp_method,3,subtyp,method,ignore,
subtyp_specif,1,subtyp,specif,ignore,
subtyp_virus,1,subtyp,virus,ignore,
surfac_antigen,3,surfac,antigen,ignore,
surfac_gene,1,surfac,gene,ignore,
surfac_glycoprotein,1,surfac,glycoprotein,ignore,
surfac_protein,1,surfac,protein,ignore,disease
surveil_effort,1,surveil,effort,surveillance,
suscept_profil,2,suscept,profil,clinical;treatment;drug resistance,
suscept_staphylococcu,1,suscept,staphylococcu,ignore,
suscept_strain,1,suscept,strain,ignore,
suscept_test,9,suscept,test,ignore,phrasing
sustain_virolog,1,sustain,virolog,ignore,
swine_farm,1,swine,farm,ignore,
swine_herd,2,swine,herd,ignore,
swine_influenza,1,swine,influenza,ignore,
swine_origin,1,swine,origin,vector,"useful, but phrasing really"
swine_popul,1,swine,popul,ignore,pathogen
swine_virus,1,swine,virus,ignore,
sxt_element,1,sxt,element,drug resistance;mBio,
syndrom_coronaviru,2,syndrom,coronaviru,ignore,
syndrom_hu,1,syndrom,hu,ignore,
syndrom_mer,2,syndrom,mer,ignore,
syndrom_sar,2,syndrom,sar,ignore,
syndrom_toxin,1,syndrom,toxin,ignore,
synergi_test,2,synergi,test,ignore,
tandem_repeat,12,tandem,repeat,genotype,usually DNA finger print
termin_repeat,1,termin,repeat,ignore,
tertiari_care,4,tertiari,care,outbreak;hospital,most likely in this case
test_dst,1,test,dst,ignore,
test_posit,1,test,posit,ignore,
tetracyclin_resist,1,tetracyclin,resist,drug resistance,
therapeut_target,1,therapeut,target,ignore,
therapi_art,1,therapi,art,ignore,
thermost_direct,1,thermost,direct,ignore,not too sure
throughput_sequenc,1,throughput,sequenc,ignore,
time_pcr,6,time,pcr,ignore,
tissu_infect,1,tissu,infect,ignore,"pathogen, not useful"
tor_biotyp,1,tor,biotyp,ignore,"could be cancer, or bugs"
tor_isol,1,tor,isol,ignore,
tor_strain,1,tor,strain,ignore,
tor_variant,1,tor,variant,ignore,
toxic_shock,1,toxic,shock,ignore,pathogen
toxigen_strain,1,toxigen,strain,characterization,
toxigen_vibrio,1,toxigen,vibrio,ignore,
toxin_coregul,1,toxin,coregul,ignore,
toxin_gene,3,toxin,gene,ignore,
toxin_produc,1,toxin,produc,ignore,too broad
toxin_stx,1,toxin,stx,ignore,
tract_infect,3,tract,infect,ignore,
transcript_factor,2,transcript,factor,ignore,
transcript_polymeras,4,transcript,polymeras,ignore,
transcript_regul,1,transcript,regul,ignore,
transcript_respons,1,transcript,respons,ignore,
transcript_start,1,transcript,start,ignore,
transcriptas_inhibitor,1,transcriptas,inhibitor,ignore,
transcriptom_analysi,1,transcriptom,analysi,ignore,
transfer_plasmid,2,transfer,plasmid,drug resistance;mBio,could be interesting for tranmission
transmiss_chain,1,transmiss,chain,transmission,
transmiss_cluster,1,transmiss,cluster,outbreak;transmission,too broad
transmiss_dynam,2,transmiss,dynam,transmission,
transmiss_event,2,transmiss,event,outbreak;transmission,
transmiss_network,1,transmiss,network,outbreak;transmission,
transmit_drug,1,transmit,drug,ignore,
treatment_failur,1,treatment,failur,clinical;treatment,
treatment_naiv,1,treatment,naiv,ignore,
treatment_outcom,1,treatment,outcom,clinical;treatment,
treatment_respons,1,treatment,respons,clinical;treatment,
tripl_reassort,1,tripl,reassort,ignore,disease
tst_gene,1,tst,gene,ignore,just TB
ttv_infect,1,ttv,infect,ignore,"very specific to HIV, mostly about replication and not drug resistance"
